Run		Alignment	DUT	THL

10107	10032		SET9	814
10117	10032		SET9	824
10127	10032		SET9	834
10137	10032		SET9	844
10147	10032		SET9	854
10157	10032		SET9	864
10169	10032		SET9	874
10180	10032		SET9	884
10230	10032		SET9	894
10240	10032		SET9	904
10250	10032		SET9	914
10260	10032		SET9	924
10283	10032		SET9	804
10293	10032		SET9	794
10303	10032		SET9	784
10313	10032		SET9	774

10335	10320		SET10	1120
10345	10320		SET10	1110
10355	10320		SET10	1100
10365	10320		SET10	1090
10375	10320		SET10	1080
10385	10320		SET10	1070
10395	10320		SET10	1060
10414	10320		SET10	1050
10424	10320		SET10	1040
10434	10320		SET10	1030
10444	10320		SET10	1020
10454	10320		SET10	1010
10464	10320		SET10	1000
10476	10320		SET10	990
10486	10320		SET10	980

10495	10494		SET12	1035
10505	10494		SET12	1025
10515	10494		SET12	1015
10525	10494		SET12	1005
10535	10494		SET12	995
10545	10494		SET12	985
10560	10494		SET12	975
10570	10494		SET12	965
10580	10494		SET12	955
10590	10494		SET12	945
10603	10494		SET12	935
10617	10494		SET12	925
10627	10494		SET12	915
10637	10494		SET12	905
10647	10494		SET12	895
10657	10494		SET12	885
10667	10494		SET12	875

10685	10677		SET15	1089
10695	10677		SET15	1079
10704	10677		SET15	1069
10714	10677		SET15	1059
10724	10677		SET15	1049
10734	10677		SET15	1039
10744	10677		SET15	1029
10754	10677		SET15	1019
10764	10677		SET15	1009
10774	10677		SET15	999
10784	10677		SET15	989
10794	10677		SET15	979
10804	10677		SET15	969
10814	10677		SET15	959
10824	10677		SET15	949
10834	10677		SET15	939
10844	10677		SET15	929
10854	10677		SET15	919
10864	10677		SET15	909
10874	10677		SET15	899
10884	10677		SET15	889

10907	10905		SET14	959
10917	10905		SET14	949
10927	10905		SET14	939
10937	10905		SET14	929
10947	10905		SET14	919
10957	10905		SET14	909
10967	10905		SET14	899
10977	10905		SET14	889
10987	10905		SET14	879
10997	10905		SET14	869
11007	10905		SET14	859
11017	10905		SET14	849
11027	10905		SET14	839
11037	10905		SET14	829

11046	11044		SET13	1030
11056	11044		SET13	1020
11066	11044		SET13	1010
11076	11044		SET13	1000
11086	11044		SET13	990

